vpip,ratio action
0.25,0.338
0.49,0.672
0.37,0.441
0.26,0.667
0.2,0.594
0.27,0.335
0.5,0.671
0.35,0.429
0.24,0.642
0.21,0.607
0.28,0.365
0.51,0.684
0.39,0.451
0.24,0.644
0.2,0.614
0.28,0.36
0.49,0.665
0.35,0.423
0.23,0.65
0.2,0.629
0.26,0.355
0.49,0.644
0.32,0.4
0.27,0.668
0.22,0.637
0.26,0.337
0.51,0.678
0.38,0.455
0.25,0.672
0.19,0.616
0.25,0.312
0.49,0.651
0.33,0.427
0.24,0.67
0.2,0.649
0.27,0.346
0.52,0.691
0.36,0.435
0.22,0.635
0.19,0.62
0.3,0.373
0.49,0.652
0.35,0.425
0.25,0.638
0.2,0.597
0.26,0.338
0.52,0.675
0.36,0.441
0.23,0.66
0.2,0.626
0.28,0.352
0.49,0.649
0.37,0.433
0.26,0.664
0.21,0.604
0.26,0.354
0.5,0.648
0.36,0.433
0.27,0.671
0.19,0.626
0.26,0.355
0.5,0.677
0.34,0.401
0.23,0.651
0.2,0.628
0.26,0.341
0.5,0.678
0.35,0.429
0.23,0.671
0.21,0.622
0.28,0.337
0.5,0.669
0.34,0.426
0.24,0.625
0.21,0.586
0.26,0.34
0.53,0.711
0.34,0.418
0.24,0.666
0.19,0.639
0.27,0.363
0.5,0.671
0.35,0.426
0.24,0.662
0.21,0.639
0.27,0.351
0.51,0.668
0.37,0.444
0.28,0.705
0.21,0.627
0.25,0.337
0.49,0.675
0.36,0.449
0.24,0.672
0.2,0.631
0.27,0.355
0.49,0.672
0.36,0.418
0.24,0.638
0.2,0.614
0.24,0.341
0.51,0.653
0.32,0.404
0.25,0.658
0.19,0.608
0.22,0.312
0.5,0.661
0.34,0.424
0.24,0.661
0.19,0.637
0.24,0.323
0.49,0.664
0.38,0.46
0.24,0.677
0.21,0.602
0.26,0.344
0.46,0.634
0.35,0.427
0.24,0.646
0.21,0.63
0.26,0.336
0.47,0.627
0.36,0.439
0.24,0.648
0.19,0.612
0.26,0.356
0.49,0.655
0.34,0.419
0.24,0.678
0.21,0.658
0.25,0.338
0.48,0.672
0.36,0.43
0.23,0.624
0.2,0.605
0.26,0.341
0.47,0.655
0.36,0.441
0.25,0.651
0.2,0.615
0.26,0.347
0.5,0.669
0.36,0.415
0.23,0.633
0.19,0.588
0.28,0.354
0.51,0.658
0.35,0.42
0.23,0.636
0.2,0.606
0.25,0.341
0.52,0.675
0.34,0.407
0.23,0.673
0.2,0.625
0.27,0.349
0.48,0.641
0.37,0.444
0.23,0.659
0.19,0.614
0.26,0.346
0.5,0.673
0.34,0.418
0.26,0.641
0.19,0.581
0.29,0.357
0.53,0.673
0.35,0.429
0.24,0.668
0.21,0.635
0.26,0.35
0.48,0.649
0.36,0.434
0.24,0.657
0.19,0.618
0.26,0.326
0.49,0.644
0.36,0.442
0.22,0.624
0.19,0.565
0.27,0.354
0.52,0.692
0.34,0.411
0.25,0.641
0.22,0.607
0.26,0.338
0.5,0.664
0.34,0.43
0.24,0.672
0.19,0.631
0.26,0.349
0.49,0.632
0.34,0.421
0.25,0.688
0.2,0.618
0.26,0.336
0.49,0.647
0.36,0.426
0.23,0.668
0.19,0.642
0.26,0.349
0.49,0.678
0.35,0.419
0.23,0.632
0.2,0.596
0.26,0.339
0.51,0.676
0.32,0.406
0.23,0.61
0.19,0.583
0.26,0.352
0.49,0.672
0.35,0.438
0.24,0.669
0.22,0.632
0.26,0.339
0.48,0.663
0.38,0.463
0.24,0.655
0.21,0.636
0.26,0.35
0.51,0.675
0.36,0.442
0.23,0.624
0.22,0.612
0.26,0.34
0.52,0.681
0.33,0.398
0.23,0.643
0.21,0.622
0.23,0.32
0.49,0.685
0.38,0.438
0.26,0.634
0.2,0.618
0.28,0.346
0.52,0.676
0.32,0.402
0.25,0.627
0.2,0.583
0.26,0.337
0.49,0.671
0.35,0.434
0.25,0.638
0.22,0.618
0.25,0.324
0.51,0.687
0.36,0.425
0.25,0.643
0.2,0.615
0.26,0.347
0.51,0.657
0.36,0.429
0.23,0.666
0.22,0.636
0.26,0.344
0.51,0.667
0.35,0.421
0.24,0.627
0.21,0.602
0.25,0.341
0.49,0.667
0.38,0.453
0.25,0.676
0.2,0.629
0.25,0.342
0.51,0.656
0.32,0.392
0.24,0.678
0.19,0.633
0.27,0.345
0.5,0.66
0.33,0.404
0.24,0.652
0.2,0.596
0.27,0.356
0.49,0.658
0.34,0.429
0.23,0.606
0.2,0.595
0.27,0.355
0.5,0.658
0.32,0.406
0.27,0.662
0.22,0.626
0.26,0.343
0.51,0.666
0.35,0.431
0.24,0.622
0.23,0.621
0.26,0.349
0.5,0.647
0.37,0.447
0.25,0.623
0.2,0.597
0.28,0.351
0.48,0.653
0.34,0.429
0.24,0.64
0.2,0.613
0.26,0.34
0.48,0.655
0.36,0.435
0.25,0.65
0.21,0.609
0.26,0.352
0.52,0.682
0.31,0.399
0.23,0.63
0.2,0.584
0.26,0.343
0.53,0.676
0.35,0.405
0.25,0.656
0.2,0.609
0.26,0.339
0.52,0.678
0.31,0.379
0.23,0.667
0.19,0.623
0.24,0.313
0.5,0.664
0.34,0.42
0.25,0.657
0.19,0.572
0.26,0.337
0.46,0.665
0.34,0.427
0.25,0.612
0.18,0.584
0.24,0.324
0.51,0.681
0.33,0.407
0.28,0.665
0.19,0.621
0.26,0.344
0.5,0.673
0.35,0.436
0.24,0.638
0.2,0.605
0.26,0.357
0.49,0.683
0.33,0.415
0.24,0.648
0.19,0.593
0.26,0.341
0.49,0.662
0.35,0.416
0.23,0.62
0.2,0.583
0.24,0.324
0.52,0.661
0.33,0.406
0.24,0.652
0.2,0.623
0.26,0.342
0.48,0.663
0.36,0.444
0.24,0.662
0.21,0.62
0.25,0.339
0.5,0.66
0.35,0.421
0.24,0.649
0.19,0.616
0.26,0.347
0.47,0.646
0.37,0.427
0.25,0.662
0.2,0.608
0.25,0.351
0.52,0.679
0.37,0.441
0.25,0.659
0.21,0.624
0.27,0.346
0.51,0.665
0.35,0.414
0.26,0.639
0.2,0.592
0.28,0.341
0.47,0.672
0.35,0.421
0.24,0.626
0.2,0.629
0.23,0.328
0.47,0.654
0.35,0.43
0.26,0.647
0.2,0.61
0.27,0.342
0.52,0.689
0.35,0.414
0.25,0.642
0.22,0.604
0.26,0.341
0.54,0.655
0.35,0.423
0.25,0.608
0.21,0.562
0.29,0.362
0.54,0.717
0.36,0.42
0.25,0.663
0.19,0.612
0.26,0.354
0.51,0.671
0.34,0.418
0.23,0.641
0.18,0.594
0.28,0.351
0.48,0.666
0.37,0.441
0.25,0.658
0.2,0.612
0.24,0.319
0.49,0.695
0.34,0.416
0.25,0.662
0.21,0.599
0.25,0.357
0.5,0.673
0.38,0.45
0.25,0.643
0.19,0.59
0.26,0.348
0.5,0.663
0.37,0.452
0.23,0.664
0.2,0.63
0.26,0.351
0.48,0.666
0.35,0.427
0.24,0.66
0.2,0.597
0.26,0.338
0.49,0.666
0.35,0.435
0.24,0.693
0.2,0.631
0.24,0.325
0.49,0.667
0.33,0.409
0.26,0.669
0.2,0.623
0.24,0.329
0.47,0.64
0.35,0.435
0.25,0.661
0.21,0.625
0.25,0.342
0.51,0.685
0.34,0.415
0.25,0.645
0.21,0.617
0.26,0.337
0.5,0.68
0.34,0.41
0.26,0.652
0.2,0.594
0.26,0.341
0.51,0.688
0.33,0.427
0.23,0.677
0.21,0.624
0.29,0.363
0.48,0.67
0.35,0.416
0.25,0.669
0.2,0.582
0.25,0.345
0.48,0.66
0.34,0.419
0.27,0.63
0.22,0.56
0.25,0.354
0.52,0.664
0.36,0.433
0.26,0.639
0.19,0.586
0.26,0.345
0.5,0.671
0.34,0.424
0.25,0.651
0.2,0.631
0.27,0.356
0.52,0.671
0.38,0.452
0.24,0.66
0.21,0.614
0.25,0.34
0.46,0.654
0.37,0.427
0.27,0.647
0.2,0.578
0.27,0.345
0.53,0.686
0.35,0.437
0.24,0.666
0.21,0.612
0.27,0.36
0.48,0.656
0.34,0.406
0.25,0.65
0.21,0.578
0.28,0.371
0.51,0.685
0.38,0.443
0.26,0.668
0.2,0.606
0.24,0.326
0.47,0.656
0.33,0.407
0.25,0.677
0.19,0.621
0.27,0.342
0.48,0.645
0.34,0.413
0.26,0.654
0.21,0.602
0.27,0.355
0.49,0.661
0.35,0.434
0.24,0.639
0.23,0.614
0.28,0.354
0.51,0.692
0.37,0.446
0.24,0.669
0.21,0.637
0.24,0.324
0.49,0.669
0.33,0.41
0.25,0.658
0.2,0.611
0.24,0.333
0.49,0.652
0.34,0.408
0.26,0.638
0.21,0.601
0.29,0.363
0.51,0.685
0.35,0.423
0.26,0.649
0.2,0.595
0.27,0.345
0.5,0.669
0.38,0.463
0.26,0.659
0.2,0.575
0.27,0.348
0.51,0.657
0.35,0.425
0.24,0.67
0.21,0.623
0.25,0.342
0.49,0.644
0.32,0.396
0.25,0.655
0.21,0.632
0.25,0.329
0.49,0.654
0.34,0.432
0.25,0.674
0.23,0.607
0.27,0.364
0.5,0.648
0.34,0.426
0.24,0.65
0.18,0.611
0.27,0.34
0.48,0.664
0.34,0.415
0.26,0.661
0.19,0.58
0.24,0.335
0.49,0.651
0.35,0.436
0.25,0.606
0.21,0.612
0.25,0.342
0.52,0.692
0.34,0.434
0.23,0.63
0.2,0.578
0.24,0.319
0.51,0.67
0.32,0.41
0.26,0.658
0.23,0.633
0.26,0.341
0.48,0.663
0.36,0.436
0.24,0.648
0.21,0.605
0.25,0.335
0.5,0.665
0.31,0.409
0.21,0.624
0.21,0.624
0.25,0.335
0.49,0.654
0.34,0.412
0.25,0.636
0.2,0.558
0.26,0.349
0.5,0.665
0.35,0.426
0.24,0.657
0.21,0.616
0.28,0.349
0.49,0.689
0.37,0.445
0.24,0.618
0.18,0.576
0.27,0.356
0.48,0.648
0.35,0.411
0.24,0.636
0.18,0.592
0.25,0.334
0.5,0.663
0.32,0.409
0.23,0.627
0.2,0.607
0.26,0.337
0.49,0.68
0.36,0.432
0.25,0.687
0.22,0.655
0.27,0.348
0.48,0.658
0.35,0.432
0.27,0.646
0.2,0.603
0.24,0.335
0.48,0.651
0.36,0.427
0.23,0.645
0.21,0.615
0.24,0.334
0.49,0.657
0.35,0.416
0.24,0.686
0.21,0.623
0.26,0.321
0.47,0.633
0.35,0.424
0.24,0.639
0.21,0.597
0.26,0.345
0.47,0.642
0.36,0.443
0.25,0.637
0.19,0.59
0.26,0.354
0.5,0.683
0.4,0.458
0.26,0.666
0.22,0.637
0.26,0.345
0.48,0.638
0.39,0.455
0.24,0.637
0.21,0.631
0.25,0.332
0.5,0.661
0.36,0.439
0.25,0.66
0.2,0.584
0.26,0.356
0.49,0.661
0.36,0.436
0.24,0.641
0.2,0.611
0.24,0.324
0.5,0.678
0.35,0.42
0.26,0.644
0.2,0.584
0.28,0.353
0.5,0.704
0.33,0.421
0.23,0.656
0.23,0.657
0.27,0.359
0.49,0.66
0.37,0.447
0.23,0.644
0.2,0.606
0.26,0.351
0.49,0.666
0.35,0.421
0.24,0.618
0.2,0.56
0.25,0.327
0.48,0.687
0.34,0.426
0.25,0.683
0.2,0.607
0.28,0.373
0.47,0.635
0.33,0.399
0.23,0.634
0.21,0.622
0.26,0.344
0.5,0.663
0.36,0.441
0.26,0.635
0.19,0.577
0.28,0.337
0.51,0.687
0.35,0.435
0.24,0.667
0.21,0.654
0.27,0.349
0.48,0.649
0.35,0.414
0.25,0.637
0.21,0.627
0.27,0.36
0.5,0.656
0.39,0.451
0.24,0.655
0.2,0.627
0.25,0.343
0.5,0.675
0.34,0.413
0.26,0.669
0.19,0.612
0.26,0.347
0.49,0.67
0.35,0.415
0.26,0.657
0.19,0.577
0.26,0.34
0.47,0.636
0.35,0.435
0.25,0.658
0.2,0.622
0.24,0.334
0.5,0.676
0.35,0.421
0.25,0.621
0.22,0.602
0.27,0.356
0.51,0.666
0.38,0.45
0.24,0.657
0.17,0.611
0.27,0.337
0.5,0.666
0.31,0.397
